"away_score","home_score","away_team","home_team","year","team","game_date"
"27","20","Packers","Eagles",2010,"eagles","09-12-2010"
"35","32","Eagles","Lions",2010,"eagles","09-19-2010"
"28","03","Eagles","Jaguars",2010,"eagles","09-26-2010"
"17","12","Redskins","Eagles",2010,"eagles","10-03-2010"
"27","24","Eagles","49ers",2010,"eagles","10-10-2010"
"17","31","Falcons","Eagles",2010,"eagles","10-17-2010"
"19","37","Eagles","Titans",2010,"eagles","10-24-2010"
"24","26","Colts","Eagles",2010,"eagles","11-07-2010"
"59","28","Eagles","Redskins",2010,"eagles","11-15-2010"
"17","27","Giants","Eagles",2010,"eagles","11-21-2010"
"26","31","Eagles","Bears",2010,"eagles","11-28-2010"
"24","34","Texans","Eagles",2010,"eagles","12-02-2010"
"30","27","Eagles","Cowboys",2010,"eagles","12-12-2010"
"38","31","Eagles","Giants",2010,"eagles","12-19-2010"
"24","14","Vikings","Eagles",2010,"eagles","12-28-2010"
"14","13","Cowboys","Eagles",2010,"eagles","01-02-2010"
"27","20","Packers","Eagles",2010,"eagles","09-12-2010"
"35","32","Eagles","Lions",2010,"eagles","09-19-2010"
"28","03","Eagles","Jaguars",2010,"eagles","09-26-2010"
"17","12","Redskins","Eagles",2010,"eagles","10-03-2010"
"27","24","Eagles","49ers",2010,"eagles","10-10-2010"
"17","31","Falcons","Eagles",2010,"eagles","10-17-2010"
"19","37","Eagles","Titans",2010,"eagles","10-24-2010"
"24","26","Colts","Eagles",2010,"eagles","11-07-2010"
"59","28","Eagles","Redskins",2010,"eagles","11-15-2010"
"17","27","Giants","Eagles",2010,"eagles","11-21-2010"
"26","31","Eagles","Bears",2010,"eagles","11-28-2010"
"24","34","Texans","Eagles",2010,"eagles","12-02-2010"
"30","27","Eagles","Cowboys",2010,"eagles","12-12-2010"
"38","31","Eagles","Giants",2010,"eagles","12-19-2010"
"24","14","Vikings","Eagles",2010,"eagles","12-28-2010"
"14","13","Cowboys","Eagles",2010,"eagles","01-02-2010"
"07","13","Cowboys","Redskins",2010,"redskins","09-12-2010"
"30","27","Texans","Redskins",2010,"redskins","09-19-2010"
"16","30","Redskins","Rams",2010,"redskins","09-26-2010"
"17","12","Redskins","Eagles",2010,"redskins","10-03-2010"
"13","16","Packers","Redskins",2010,"redskins","10-10-2010"
"27","24","Colts","Redskins",2010,"redskins","10-17-2010"
